policy,ratio,round,subset,n,mse,mae,pred_mean,label_mean,pred_abs_mean,label_abs_mean,pred_std,label_std,same_sign_rate,pred_close_frac,label_close_frac
noise50_r3,noise50,3,all,2000,0.007110849488526583,0.02990187332034111,-0.07379478216171265,-0.0735381543636322,0.17510856688022614,0.19152438640594482,0.37174931168556213,0.3906541168689728,,,
noise50_r3,noise50,3,arm_xyz,2000,0.005193568300455809,0.029935695230960846,0.025693846866488457,0.027428356930613518,0.07377683371305466,0.08622608333826065,0.16714949905872345,0.18701690435409546,,,
noise50_r3,noise50,3,arm_rot,2000,0.0032839279156178236,0.02146943099796772,0.0016360213048756123,0.002941068261861801,0.018213486298918724,0.03078233078122139,0.048988357186317444,0.07706739753484726,,,
noise50_r3,noise50,3,z,2000,0.009874556213617325,0.04556291177868843,0.02573086880147457,0.026872819289565086,0.10745478421449661,0.12330237776041031,0.2330961525440216,0.2624267339706421,,,
noise50_r3,noise50,3,gripper,2000,0.02434346079826355,0.055097732692956924,-0.5985530614852905,-0.6058753728866577,0.9497890472412109,0.9896455407142639,0.7444674968719482,0.7835928201675415,,,
noise50_r3,noise50,3,gripper_dim_6,2000,0.02463728003203869,0.054469335824251175,-0.5997433066368103,-0.6057578921318054,0.9505191445350647,0.9897581934928894,0.74442458152771,0.783785343170166,0.9925,0.186,0.1935
noise50_r3,noise50,3,gripper_dim_13,2000,0.02404964156448841,0.055726125836372375,-0.5973628163337708,-0.60599285364151,0.949059009552002,0.9895329475402832,0.7445085048675537,0.7834002375602722,0.9925,0.186,0.1935
noise50_r3,noise50,3,source=clean,232,0.004605085588991642,0.016177423298358917,-0.06933484971523285,-0.06731807440519333,0.17877106368541718,0.18728724122047424,0.37609559297561646,0.39478033781051636,,,
noise50_r3,noise50,3,source=dagger_round_1,500,0.0035423918161541224,0.01514559704810381,-0.07245002686977386,-0.0741477683186531,0.17357872426509857,0.17828784883022308,0.3746677339076996,0.38878679275512695,,,
noise50_r3,noise50,3,source=dagger_round_2,500,0.005072964355349541,0.016749462112784386,-0.07928034663200378,-0.07880951464176178,0.17780274152755737,0.183182954788208,0.37492308020591736,0.39182573556900024,,,
noise50_r3,noise50,3,source=dagger_round_3,500,0.004968719091266394,0.01785983145236969,-0.07195436209440231,-0.07385403662919998,0.17292991280555725,0.1798640638589859,0.37259960174560547,0.3894016444683075,,,
noise50_r3,noise50,3,source=noisy,268,0.023736126720905304,0.11631766706705093,-0.07336384057998657,-0.06736141443252563,0.1738305687904358,0.25720423460006714,0.3544495701789856,0.3905235230922699,,,
noise80_r1,noise80,1,all,2000,0.013585011474788189,0.06643755733966827,-0.08634881675243378,-0.0852036327123642,0.17470870912075043,0.216115340590477,0.36116287112236023,0.38620084524154663,,,
noise80_r1,noise80,1,arm_xyz,2000,0.012826967984437943,0.06971743702888489,0.018534431234002113,0.016104113310575485,0.07715445756912231,0.11479746550321579,0.1620546281337738,0.20043805241584778,,,
noise80_r1,noise80,1,arm_rot,2000,0.010968775488436222,0.06242597475647926,0.00044975042692385614,0.004955114331096411,0.018658768385648727,0.06831802427768707,0.04671921208500862,0.11593428999185562,,,
noise80_r1,noise80,1,z,2000,0.01566482149064541,0.0787922590970993,0.020761720836162567,0.012767690233886242,0.10100807249546051,0.14232230186462402,0.2170308530330658,0.2579616606235504,,,
noise80_r1,noise80,1,gripper,2000,0.023707840591669083,0.06863266229629517,-0.6613942980766296,-0.6596030592918396,0.9355212450027466,0.9634610414505005,0.6644218564033508,0.7057613134384155,,,
noise80_r1,noise80,1,gripper_dim_6,2000,0.02314508706331253,0.06690552085638046,-0.6634958386421204,-0.6610067486763,0.9370511770248413,0.9646552801132202,0.6644846796989441,0.7056964635848999,0.995,0.151,0.156
noise80_r1,noise80,1,gripper_dim_13,2000,0.024270595982670784,0.07035980373620987,-0.6592926979064941,-0.6581994295120239,0.9339913129806519,0.9622668623924255,0.6643523573875427,0.7058233022689819,0.9945,0.1505,0.156
noise80_r1,noise80,1,source=dagger_round_1,1000,0.004253016784787178,0.018814146518707275,-0.07167184352874756,-0.07282327860593796,0.17582181096076965,0.17975583672523499,0.37355509400367737,0.3901025056838989,,,
noise80_r1,noise80,1,source=noisy,1000,0.0229170024394989,0.11406096816062927,-0.10102579742670059,-0.09758397936820984,0.17359559237957,0.2524748742580414,0.34771105647087097,0.381858229637146,,,
noise80_r3,noise80,3,all,2000,0.00969806220382452,0.043484121561050415,-0.08285412937402725,-0.08500891178846359,0.17243076860904694,0.19691458344459534,0.36303800344467163,0.38575804233551025,,,
noise80_r3,noise80,3,arm_xyz,2000,0.007484700996428728,0.0435287170112133,0.017480261623859406,0.01702316477894783,0.07137119770050049,0.09069565683603287,0.1610884964466095,0.18382923305034637,,,
noise80_r3,noise80,3,arm_rot,2000,0.005576658993959427,0.03527352586388588,0.0005786949186585844,0.0023509131278842688,0.018020210787653923,0.04160233959555626,0.04639475420117378,0.08900576829910278,,,
noise80_r3,noise80,3,z,2000,0.010753956623375416,0.05534053221344948,0.020078476518392563,0.014050422236323357,0.10323942452669144,0.1204724907875061,0.2262868732213974,0.2468998283147812,,,
noise80_r3,noise80,3,gripper,2000,0.028702354058623314,0.06798211485147476,-0.6341557502746582,-0.6531845927238464,0.9388411641120911,0.9815080761909485,0.6951638460159302,0.7345535755157471,,,
noise80_r3,noise80,3,gripper_dim_6,2000,0.028443213552236557,0.06731471419334412,-0.6350934505462646,-0.6531807780265808,0.9395225644111633,0.9815037250518799,0.6951229572296143,0.7344392538070679,0.9925,0.158,0.1655
