ratio,ratio_name,round_idx,beta,saved_episodes,attempted_episodes,collection_success_count,collection_save_rate,success_rate_collection,best_val_loss,intermediate_eval_success_rate,intermediate_eval_success_count,intermediate_mean_steps,intermediate_mean_reward
0.0,noise0,1,1.0,20,20,20,1.0,1.0,0.018974783413649835,0.5333333333333333,16,362.46666666666664,37.0060776190454
0.0,noise0,2,0.8,20,20,20,1.0,1.0,0.020126792807708082,0.5333333333333333,16,356.76666666666665,55.506586368890865
0.0,noise0,3,0.6400000000000001,20,20,20,1.0,1.0,0.019892299789743325,0.5333333333333333,16,374.8,72.04191689501766
0.0,noise0,4,0.5120000000000001,20,20,20,1.0,1.0,0.01993763781315887,0.36666666666666664,11,445.3333333333333,91.10648275662666
0.5,noise50,1,1.0,20,20,20,1.0,1.0,0.534804901935988,0.0,0,600.0,132.52414517506315
0.5,noise50,2,0.8,20,20,20,1.0,1.0,0.588375779075755,0.06666666666666667,2,572.6666666666666,132.7062196252731
0.5,noise50,3,0.6400000000000001,20,20,20,1.0,1.0,0.6450175363570452,1.0,30,161.83333333333334,31.188577201876544
0.5,noise50,4,0.5120000000000001,20,20,20,1.0,1.0,0.7000449674410952,0.8666666666666667,26,227.8,45.20912492576209
0.8,noise80,1,1.0,20,20,20,1.0,1.0,0.7478652768306904,0.0,0,600.0,130.86976734261484
0.8,noise80,2,0.8,20,20,20,1.0,1.0,0.8264553951429533,0.0,0,600.0,136.20457959071481
0.8,noise80,3,0.6400000000000001,20,20,20,1.0,1.0,0.9010610143701594,0.0,0,600.0,136.3058730735536
0.8,noise80,4,0.5120000000000001,20,20,19,1.0,0.95,0.9871042254450801,0.0,0,600.0,132.5057982412146
1.0,noise100,1,1.0,20,20,20,1.0,1.0,0.7003237430988943,0.0,0,600.0,129.82352230342727
1.0,noise100,2,0.8,20,20,20,1.0,1.0,0.7676947712009958,0.0,0,600.0,135.76372497215075
1.0,noise100,3,0.6400000000000001,20,20,20,1.0,1.0,0.8349773896255721,0.13333333333333333,4,561.5333333333333,115.82567714054794
1.0,noise100,4,0.5120000000000001,20,20,19,1.0,0.95,0.9118756349857802,0.0,0,600.0,131.30009373538508
